member_casual,start_station_name,month,no_of_trips
member,Halsted St & Wrightwood Ave,May,1274
member,Wilton Ave & Diversey Pkwy,June,1274
casual,St. Clair St & Erie St,August,1273
member,Michigan Ave & Lake St,July,1273
member,Montrose Harbor,August,1273
member,State St & Chicago Ave,June,1272
member,Wells St & Huron St,October,1271
casual,Broadway & Cornelia Ave,August,1270
member,Clark St & Schiller St,September,1270
member,Clark St & Wellington Ave,June,1270
member,Clinton St & Lake St,May,1269
casual,Dearborn St & Erie St,August,1264
casual,Michigan Ave & 8th St,September,1264
member,Clinton St & Lake St,September,1264
member,Franklin St & Lake St,August,1263
member,Millennium Park,August,1263
member,Wells St & Elm St,April,1261
member,Franklin St & Chicago Ave,September,1260
member,Columbus Dr & Randolph St,September,1259
casual,Green St & Madison St,June,1257
casual,Lakefront Trail & Bryn Mawr Ave,July,1257
member,Burling St & Diversey Pkwy,July,1256
member,Canal St & Madison St,September,1256
casual,Kingsbury St & Kinzie St,June,1255
member,New St & Illinois St,July,1255
casual,Clark St & Schiller St,June,1254
member,900 W Harrison St,October,1253
casual,Fairbanks Ct & Grand Ave,June,1252
member,Pine Grove Ave & Waveland Ave,May,1250
member,Sheffield Ave & Webster Ave,June,1250
member,Pine Grove Ave & Irving Park Rd,July,1249
casual,Broadway & Cornelia Ave,June,1247
casual,Broadway & Waveland Ave,July,1247
casual,LaSalle St & Illinois St,May,1247
member,Michigan Ave & Lake St,September,1247
casual,Buckingham Fountain,May,1245
casual,Dearborn Pkwy & Delaware Pl,July,1245
member,Lincoln Ave & Diversey Pkwy,June,1245
casual,Southport Ave & Waveland Ave,June,1244
member,Wabash Ave & Roosevelt Rd,October,1243
member,Wells St & Evergreen Ave,May,1242
member,Dearborn St & Erie St,April,1240
member,Federal St & Polk St,August,1240
member,Calumet Ave & 33rd St,September,1239
member,Franklin St & Chicago Ave,August,1238
member,Stockton Dr & Wrightwood Ave,August,1238
casual,Halsted St & Wrightwood Ave,August,1237
member,Canal St & Madison St,August,1237
member,Clark St & Schiller St,May,1237
member,Orleans St & Merchandise Mart Plaza,August,1237
casual,Broadway & Barry Ave,May,1236
casual,Southport Ave & Roscoe St,August,1236
member,Halsted St & Maxwell St,September,1236
casual,Sheffield Ave & Fullerton Ave,June,1235
member,Halsted St & Dickens Ave,August,1235
member,LaSalle St & Illinois St,October,1234
casual,Wabash Ave & Grand Ave,September,1233
member,Morgan St & Lake St,June,1231
member,Pine Grove Ave & Irving Park Rd,September,1231
member,Rush St & Cedar St,June,1231
member,Dearborn Pkwy & Delaware Pl,October,1230
casual,Broadway & Waveland Ave,August,1229
casual,Pine Grove Ave & Waveland Ave,July,1229
member,Halsted St & Clybourn Ave,October,1229
casual,Dearborn Pkwy & Delaware Pl,June,1228
member,McClurg Ct & Ohio St,September,1228
member,New St & Illinois St,September,1227
member,DuSable Lake Shore Dr & Monroe St,May,1226
member,Southport Ave & Waveland Ave,August,1225
member,State St & Randolph St,June,1225
